Role,Invested in Real Estate,Extra Hours,Invested in Stock Market,Favourite Sport,Gender,Languages Known,Sport Knowledge (in XP),Average no. of leaves/month,Trades Done,Married(1/0),Level of Education,Occupation,Pay,ID Proof,Most Productive Hour,Tax Category,Income Category,Employer,Tax Paid,Id
Part-time,Ocean Side,Paid,Tesla,polo,female,4,,5,33,0,Masters,1,35641.73,Driving License,8,60,2.0,,23388,4851
Full-time,Country Side,Paid,Tesla,polo,female,1,45.0,1,31,1,Graduation,6,462.73,Driving License,8,24,2.0,Vision-Analytics,46313,4852
Full-time,Ocean Side,Paid,Tesla,basketball,male,2,39.0,2,24,0,High School,7,273.73,Driving License,8,422,2.0,Vision-Analytics,23972,4853
Part-time,Ocean Side,Paid,Tesla,badminton,male,3,0.0,3,35,0,Masters,8,1383.73,Driving License,8,186,2.0,Vision-Analytics,38999,4854
Part-time,Ocean Side,Paid,Tesla,cricket,female,4,87.0,5,30,0,,4,375.73,Driving License,8,9,2.0,Vision-Analytics,11674,4855
Part-time,,Paid,Tesla,basketball,female,2,91.0,4,31,0,Graduation,0,329.73,Driving License,8,252,2.0,Vision-Analytics,26158,4856
Part-time,Ocean Side,Paid,Tesla,polo,female,4,93.0,2,32,0,Graduation,7,678.73,Driving License,8,100,2.0,Vision-Analytics,47979,4857
Part-time,Ocean Side,Paid,Tesla,cricket,male,4,93.0,2,34,0,Graduation,0,1146.73,Driving License,8,207,2.0,,43144,4858
Part-time,Country Side,Paid,Tesla,basketball,female,4,53.0,4,34,1,Graduation,4,929.73,Driving License,8,258,2.0,Vision-Analytics,19633,4859
Part-time,Ocean Side,Paid,Tesla,,male,1,,4,39,0,Graduation,4,2763.73,Driving License,8,112,2.0,Vision-Analytics,18281,4860
Full-time,Ocean Side,Paid,Tesla,,female,3,55.0,0,31,1,Graduation,3,1710.73,Driving License,8,638,2.0,Vision-Analytics,18806,4861
Part-time,Ocean Side,Paid,Tesla,swimming,male,2,54.0,2,33,1,Masters,0,6932.73,Driving License,8,80,2.0,Vision-Analytics,20550,4862
Full-time,Ocean Side,Paid,Tesla,basketball,female,3,52.0,3,32,1,Masters,1,1402.73,Driving License,8,100,2.0,,27059,4865
Full-time,Ocean Side,Paid,Tesla,swimming,female,1,91.0,3,28,0,Graduation,6,948.73,Driving License,8,229,2.0,Vision-Analytics,16628,4867
Full-time,Ocean Side,Paid,Tesla,polo,male,3,13.0,5,34,1,Graduation,3,371.73,Driving License,8,65,2.0,Vision-Analytics,35148,4868
Part-time,Ocean Side,Paid,Tesla,cricket,female,2,,3,29,0,Graduation,7,2187.73,Driving License,8,189,2.0,Vision-Analytics,42472,4869
Full-time,Ocean Side,Paid,Tesla,basketball,female,3,68.0,4,32,0,Graduation,6,1543.73,Driving License,8,491,2.0,Vision-Analytics,16954,4870
Full-time,,Paid,Tesla,basketball,female,1,11.0,3,31,1,High School,7,529.73,Driving License,8,148,2.0,,36884,4872
Full-time,Ocean Side,Paid,Tesla,swimming,male,3,65.0,1,31,0,Graduation,7,740.73,Driving License,8,491,2.0,Vision-Analytics,13858,4876
Part-time,Ocean Side,Paid,Tesla,basketball,male,3,22.0,5,30,0,High School,7,596.73,Driving License,8,527,2.0,Vision-Analytics,12701,4877
Full-time,Ocean Side,Unpaid,Tesla,soccer,female,3,83.0,0,29,0,Masters,0,1616.73,Driving License,8,82,2.0,,16058,4879
Part-time,Ocean Side,Paid,Tesla,polo,female,1,99.0,5,28,0,High School,7,726.73,Driving License,8,442,2.0,Vision-Analytics,15504,4881
Part-time,Ocean Side,Paid,Tesla,badminton,male,3,62.0,2,33,0,Graduation,8,623.73,Driving License,8,342,2.0,Vision-Analytics,11701,4882
Full-time,Ocean Side,Paid,Tesla,basketball,male,4,14.0,3,30,0,Graduation,4,2966.73,Driving License,8,13,2.0,Vision-Analytics,28003,4883
Part-time,Ocean Side,Paid,Tesla,basketball,male,2,21.0,0,29,0,Graduation,7,1516.73,Driving License,8,29,2.0,Vision-Analytics,43285,4884
Full-time,Ocean Side,Paid,Tesla,polo,female,4,64.0,2,32,0,Graduation,4,1156.73,Driving License,8,645,2.0,Vision-Analytics,44398,4885
Part-time,Ocean Side,Paid,Tesla,swimming,male,1,83.0,2,31,1,High School,7,872.73,Driving License,8,26,2.0,,17617,4886
Full-time,Ocean Side,Paid,Tesla,polo,female,3,,1,29,0,Graduation,7,3449.73,Driving License,8,217,2.0,Vision-Analytics,30768,4887
Part-time,,Paid,Tesla,,female,3,50.0,4,31,1,Graduation,4,322.73,Driving License,8,148,2.0,Vision-Analytics,20241,4888
Part-time,Ocean Side,Paid,Tesla,badminton,female,3,7.0,3,34,-1,High School,7,3475.73,Driving License,8,287,2.0,Vision-Analytics,32921,4889
Part-time,Ocean Side,Paid,Tesla,swimming,female,4,68.0,3,31,1,Graduation,4,2933.73,Driving License,8,118,2.0,Vision-Analytics,26989,4890
Part-time,Ocean Side,Unpaid,Tesla,,male,1,33.0,1,57,0,High School,10,314.73,Driving License,8,714,2.0,Vision-Analytics,36873,4891
Full-time,Ocean Side,Unpaid,Tesla,soccer,female,4,42.0,2,33,0,Graduation,7,283.27,Driving License,8,246,2.0,Vision-Analytics,33196,4892
Full-time,,Unpaid,Tesla,,male,2,,5,31,0,Graduation,7,1897.73,Driving License,8,948,2.0,Vision-Analytics,35373,4896
Part-time,Ocean Side,Paid,Jio,swimming,male,1,72.0,2,28,1,Graduation,7,512.73,Driving License,8,409,2.0,Vision-Analytics,11506,4897
Full-time,Ocean Side,Paid,Tesla,basketball,female,1,32.0,5,29,1,Graduation,3,899.73,Driving License,8,208,2.0,Vision-Analytics,48667,4898
Part-time,Ocean Side,Paid,Tesla,swimming,female,2,57.0,5,35,1,Masters,4,451.73,Driving License,8,94,2.0,,47005,4900
Full-time,Country Side,Paid,Tesla,None,male,4,,5,32,0,Graduation,3,1944.73,Driving License,8,157,2.0,Vision-Analytics,13751,4901
Full-time,Country Side,Paid,Tesla,polo,male,4,81.0,1,27,-1,Graduation,7,26.27,Driving License,8,189,2.0,Vision-Analytics,49677,4902
Part-time,Ocean Side,Paid,Tesla,soccer,female,2,37.0,5,33,1,Masters,4,1635.73,Driving License,8,227,2.0,Vision-Analytics,19902,4903
Full-time,,Paid,Tesla,None,male,3,5.0,1,29,-1,Masters,4,2560.73,Driving License,8,94,2.0,Vision-Analytics,38448,4904
Full-time,Ocean Side,Paid,Tesla,badminton,male,4,62.0,0,29,0,Masters,4,4588.73,Driving License,8,356,2.0,Vision-Analytics,17734,4906
Full-time,Ocean Side,Unpaid,Tesla,soccer,male,3,42.0,3,26,1,,6,203.73,Driving License,8,241,2.0,,17734,4907
Part-time,Ocean Side,Paid,Tesla,basketball,female,4,96.0,2,28,1,High School,7,819.73,Driving License,8,393,2.0,Vision-Analytics,18794,4911
Full-time,Ocean Side,Paid,Tesla,badminton,male,1,23.0,4,35,0,Graduation,6,680.27,Driving License,8,108,2.0,Vision-Analytics,34643,4913
Part-time,Country Side,Paid,Tesla,badminton,female,1,11.0,5,55,0,Graduation,10,1681.73,Driving License,8,199,2.0,Vision-Analytics,14361,4915
Part-time,Ocean Side,Paid,Jio,soccer,male,1,86.0,1,35,1,Graduation,4,1484.73,Driving License,8,792,2.0,Vision-Analytics,35191,4916
Full-time,Ocean Side,Paid,Tesla,cricket,female,3,6.0,2,37,0,High School,7,1047.73,Driving License,8,26,2.0,Vision-Analytics,46746,4918
Part-time,,Paid,Tesla,basketball,female,4,41.0,4,32,1,Graduation,6,1430.73,Driving License,8,100,2.0,Vision-Analytics,42002,4920
Part-time,Ocean Side,Paid,Tesla,,female,4,77.0,3,38,1,Graduation,7,1339.73,Driving License,8,168,2.0,,14799,4921
Full-time,Ocean Side,Paid,Tesla,None,male,1,40.0,2,29,0,Graduation,7,1205.73,Driving License,8,226,2.0,Vision-Analytics,44328,4922
Full-time,Country Side,Unpaid,Tesla,soccer,male,4,37.0,3,29,0,Masters,0,1533.73,Driving License,8,90,2.0,Vision-Analytics,25901,4924
Part-time,Ocean Side,Paid,Tesla,polo,female,2,24.0,0,33,1,Masters,0,1318.73,Driving License,8,58,2.0,Vision-Analytics,49376,4925
Part-time,Ocean Side,Paid,Tesla,polo,male,4,56.0,3,36,1,High School,7,623.73,Driving License,8,32,2.0,Vision-Analytics,33502,4926
Full-time,Ocean Side,Paid,Tesla,swimming,female,3,7.0,2,46,-1,Masters,4,,Driving License,8,4,2.0,Vision-Analytics,39527,4927
Part-time,Ocean Side,Unpaid,Tesla,None,male,1,83.0,4,43,0,Graduation,3,646.73,Driving License,8,14,2.0,Vision-Analytics,29361,4929
Full-time,Ocean Side,Paid,Tesla,swimming,female,1,67.0,4,25,1,Graduation,7,273.73,Driving License,8,501,2.0,Vision-Analytics,37927,4930
Full-time,Ocean Side,Paid,Tesla,polo,female,4,,5,29,1,Graduation,7,331.73,Driving License,8,539,2.0,Vision-Analytics,13584,4932
Full-time,Ocean Side,Paid,Tesla,None,male,4,96.0,5,31,0,Graduation,7,1205.73,Driving License,8,223,2.0,Vision-Analytics,27286,4933
Full-time,Ocean Side,Unpaid,Tesla,badminton,male,3,89.0,3,34,0,Graduation,2,598.27,Driving License,8,150,2.0,Vision-Analytics,32311,4934
Full-time,Ocean Side,Unpaid,Tesla,badminton,female,3,79.0,2,35,0,Graduation,4,1723.73,Driving License,8,109,2.0,,49041,4935
Part-time,Ocean Side,Paid,Tesla,None,male,1,79.0,2,30,1,Masters,4,273.73,Driving License,8,247,2.0,Vision-Analytics,13611,4937
Part-time,Ocean Side,Paid,Tesla,badminton,female,3,61.0,5,35,0,Graduation,4,6002.73,Driving License,8,300,2.0,Vision-Analytics,38025,4939
Part-time,Ocean Side,Paid,Tesla,soccer,female,1,66.0,4,32,1,Graduation,4,1224.73,Driving License,8,340,2.0,Vision-Analytics,49013,4940
Full-time,Ocean Side,Paid,Jio,soccer,female,3,,3,52,-1,Masters,0,760.73,Driving License,8,825,2.0,Vision-Analytics,43917,4941
Full-time,Ocean Side,Paid,Tesla,soccer,female,1,82.0,0,34,0,Graduation,3,1230.73,Driving License,8,203,2.0,,36600,4942
Part-time,Ocean Side,Paid,Tesla,None,male,3,58.0,5,37,0,Masters,10,1128.73,Driving License,8,783,2.0,Vision-Analytics,14257,4943
Part-time,,Paid,Tesla,polo,male,2,90.0,4,34,0,Masters,0,775.73,Driving License,8,506,2.0,Vision-Analytics,47838,4944
Full-time,Ocean Side,Paid,Tesla,soccer,female,3,69.0,5,35,0,High School,7,477.73,Driving License,8,158,2.0,Vision-Analytics,13362,4945
Full-time,Ocean Side,Paid,Tesla,basketball,female,4,90.0,3,47,-1,High School,7,2535.73,Driving License,8,122,2.0,Vision-Analytics,45682,4946
Part-time,Ocean Side,Paid,Tesla,basketball,female,4,,0,27,0,Graduation,3,961.73,Driving License,8,208,2.0,Vision-Analytics,30471,4950
Full-time,Ocean Side,Paid,Tesla,None,male,4,,1,32,1,Masters,0,1623.73,Driving License,8,65,2.0,Vision-Analytics,30943,4951
Part-time,Country Side,Unpaid,Tesla,swimming,female,4,63.0,4,29,1,Masters,4,2160.73,Driving License,8,386,2.0,Vision-Analytics,36551,4953
Full-time,Ocean Side,Paid,Tesla,None,male,2,74.0,0,35,1,Graduation,7,13429.73,Driving License,8,237,2.0,Vision-Analytics,42958,4954
Full-time,Ocean Side,Paid,Tesla,badminton,female,4,96.0,2,33,1,Graduation,8,13234.73,Driving License,8,269,2.0,Vision-Analytics,28503,4958
Full-time,Ocean Side,Paid,Tesla,polo,male,4,,1,29,1,Graduation,4,414.73,Driving License,8,137,2.0,Vision-Analytics,12150,4959
Full-time,,Paid,Tesla,None,male,1,6.0,4,39,1,Masters,0,1489.73,Driving License,8,50,2.0,Vision-Analytics,19630,4960
Full-time,Country Side,Paid,Tesla,swimming,male,4,77.0,0,31,0,High School,4,278.73,Driving License,8,54,2.0,,11613,4963
Part-time,Ocean Side,Paid,Tesla,badminton,male,4,30.0,3,50,0,Graduation,7,562.73,Driving License,8,42,2.0,Vision-Analytics,39633,4964
Part-time,Ocean Side,Paid,Tesla,badminton,male,4,48.0,3,30,0,Graduation,4,1174.73,Driving License,8,99,2.0,Vision-Analytics,15494,4966
Full-time,Ocean Side,Paid,Tesla,basketball,male,1,22.0,4,30,0,Masters,8,4738.73,Driving License,8,158,2.0,Vision-Analytics,24051,4967
Part-time,,Paid,Tesla,soccer,female,1,,0,32,0,Graduation,3,1464.73,Driving License,8,380,2.0,Vision-Analytics,40655,4968
Part-time,Ocean Side,Paid,Tesla,basketball,male,4,15.0,2,33,1,Masters,4,731.73,Driving License,8,1088,2.0,Vision-Analytics,30580,4969
Full-time,Ocean Side,Paid,Tesla,soccer,female,1,61.0,1,34,1,Masters,0,2142.73,Driving License,8,119,2.0,,47785,4970
Full-time,Ocean Side,Paid,Tesla,None,male,4,44.0,5,35,0,Masters,1,2357.73,Driving License,8,134,2.0,Vision-Analytics,46817,4971
Full-time,Ocean Side,Paid,Tesla,,female,3,49.0,5,30,0,Graduation,4,1662.73,Driving License,8,186,2.0,Vision-Analytics,17026,4972
Part-time,Ocean Side,Paid,Tesla,soccer,female,3,16.0,3,32,0,Masters,0,273.73,Driving License,8,85,2.0,Vision-Analytics,20963,4973
Full-time,Ocean Side,Unpaid,Tesla,badminton,female,3,97.0,5,25,0,Graduation,6,1576.73,Driving License,8,361,2.0,Vision-Analytics,13452,4974
Full-time,Ocean Side,Paid,Tesla,basketball,female,1,73.0,3,31,0,Masters,0,11422.73,Driving License,8,415,2.0,Vision-Analytics,18679,4975
Part-time,,Unpaid,Tesla,swimming,female,1,82.0,2,34,0,,0,238.73,Driving License,8,14,2.0,Vision-Analytics,37091,4976
Part-time,Ocean Side,Paid,Tesla,polo,female,1,,1,35,0,High School,7,3515.73,Driving License,8,230,2.0,,24014,4977
Part-time,Ocean Side,Paid,Tesla,badminton,female,4,49.0,4,30,1,Graduation,7,708.73,Driving License,8,370,2.0,Vision-Analytics,32366,4978
Part-time,Ocean Side,Paid,Tesla,polo,female,3,80.0,0,30,1,Graduation,7,2969.73,Driving License,8,442,2.0,Vision-Analytics,20783,4979
Part-time,Country Side,Paid,Tesla,,male,1,43.0,2,27,1,Graduation,7,273.73,Driving License,8,620,2.0,Vision-Analytics,15243,4980
Part-time,Ocean Side,Unpaid,Tesla,None,male,3,58.0,2,32,0,High School,7,491.73,Driving License,8,257,2.0,Vision-Analytics,37271,4981
Part-time,Ocean Side,Paid,Tesla,cricket,female,2,81.0,2,31,-1,Graduation,1,1165.73,Driving License,8,313,2.0,Vision-Analytics,20224,4982
Full-time,Ocean Side,Paid,Tesla,polo,female,4,94.0,4,29,0,Masters,4,1683.73,Driving License,8,39,2.0,Vision-Analytics,45666,4983
Part-time,,Paid,Tesla,swimming,female,3,55.0,1,30,1,Graduation,7,1994.73,Driving License,8,647,2.0,,27303,4984
Full-time,Ocean Side,Paid,Tesla,soccer,female,2,4.0,5,29,1,Masters,3,1856.73,Driving License,8,204,2.0,Vision-Analytics,40707,4985
Full-time,Ocean Side,Paid,Tesla,basketball,female,2,,5,31,1,Graduation,4,569.73,Driving License,8,223,2.0,Vision-Analytics,24146,4986
Part-time,Ocean Side,Paid,Tesla,soccer,male,3,16.0,3,36,0,Masters,0,489.73,Driving License,8,1304,2.0,Vision-Analytics,20502,4987
Full-time,Ocean Side,Paid,Tesla,swimming,female,1,17.0,3,33,0,Graduation,7,736.73,Driving License,8,101,2.0,Vision-Analytics,23708,4988
Part-time,Ocean Side,Unpaid,Tesla,None,female,3,72.0,2,35,0,Masters,0,,Driving License,8,140,2.0,Vision-Analytics,27384,4989
Full-time,,Unpaid,Tesla,cricket,male,3,8.0,3,30,0,Graduation,0,6490.73,Driving License,8,483,2.0,Vision-Analytics,24286,4992
Full-time,Ocean Side,Unpaid,Tesla,basketball,male,3,63.0,3,26,0,Graduation,3,443.73,Driving License,8,489,2.0,Vision-Analytics,25056,4993
Part-time,Ocean Side,Unpaid,Tesla,swimming,female,3,31.0,0,27,0,Graduation,0,285.27,Driving License,8,482,,Vision-Analytics,32472,4994
Part-time,Ocean Side,Paid,Tesla,,male,2,,1,19,1,Graduation,5,505.73,Driving License,8,107,2.0,Vision-Analytics,10645,4995
Full-time,Ocean Side,Paid,Tesla,soccer,female,4,72.0,4,29,1,Masters,0,658.73,Driving License,8,301,2.0,Vision-Analytics,46145,4996
Part-time,Ocean Side,Paid,Tesla,soccer,female,3,43.0,4,32,0,Graduation,7,5577.73,Driving License,8,48,2.0,Vision-Analytics,37088,4997
Part-time,Ocean Side,Paid,Tesla,swimming,male,3,71.0,4,33,1,Masters,0,344.73,Driving License,8,833,2.0,,10942,4998
Full-time,Ocean Side,Paid,Tesla,badminton,male,3,19.0,1,30,1,,4,590.73,Driving License,8,391,2.0,Vision-Analytics,23091,4999
Part-time,,Paid,Tesla,badminton,female,1,84.0,5,30,1,Masters,0,1001.73,Driving License,8,122,2.0,Vision-Analytics,34817,5000
Full-time,Ocean Side,Paid,Tesla,swimming,female,1,20.0,1,36,0,Masters,6,,Driving License,8,285,2.0,Vision-Analytics,26151,5001
Full-time,Ocean Side,Paid,Tesla,basketball,male,4,43.0,0,27,1,Masters,0,603.73,Driving License,8,312,2.0,Vision-Analytics,41448,5002
Part-time,Ocean Side,Paid,Jio,soccer,female,3,56.0,1,29,1,Masters,0,1098.73,Driving License,8,503,2.0,Vision-Analytics,10913,5003
Full-time,Country Side,Paid,Tesla,,female,2,,0,34,1,Masters,0,520.73,Driving License,8,351,2.0,Vision-Analytics,29295,5004
Part-time,Ocean Side,Paid,Tesla,basketball,male,3,21.0,2,31,0,Masters,1,1574.73,Driving License,8,181,2.0,Vision-Analytics,26859,5006
Part-time,Ocean Side,Unpaid,Tesla,soccer,female,3,9.0,3,30,0,High School,7,29323.73,Driving License,8,560,2.0,Vision-Analytics,45441,5007
Part-time,,Unpaid,Tesla,,male,1,78.0,5,25,1,Graduation,7,1552.73,Driving License,8,447,2.0,Vision-Analytics,10147,5008
Part-time,Ocean Side,Paid,Tesla,None,female,2,7.0,4,36,0,Masters,1,858.73,Driving License,8,31,2.0,Vision-Analytics,37268,5009
Full-time,Ocean Side,Unpaid,Tesla,,male,3,72.0,2,36,0,Masters,0,336.73,Driving License,8,515,2.0,Vision-Analytics,41995,5010
Full-time,Ocean Side,Paid,Tesla,swimming,female,4,63.0,1,26,0,Graduation,2,,Driving License,8,368,2.0,Vision-Analytics,28175,5011
Full-time,Country Side,Paid,Tesla,basketball,female,2,55.0,5,38,-1,Graduation,6,273.73,Driving License,8,108,2.0,,44925,5012
Full-time,Ocean Side,Paid,Tesla,,male,4,,1,32,1,Graduation,6,854.73,Driving License,8,173,2.0,Vision-Analytics,37377,5013
Full-time,,Paid,Tesla,badminton,male,4,21.0,4,36,1,Graduation,1,1419.73,Driving License,8,88,2.0,Vision-Analytics,24864,5016
Part-time,Ocean Side,Paid,Tesla,basketball,female,2,68.0,3,41,0,Graduation,9,96.73,Driving License,8,169,2.0,Vision-Analytics,27647,5018
Part-time,Ocean Side,Unpaid,Tesla,basketball,female,3,42.0,3,28,0,Masters,0,800.73,Driving License,8,262,2.0,,20627,5019
Full-time,Ocean Side,Paid,Tesla,,male,1,60.0,1,29,1,Graduation,6,,Driving License,8,111,2.0,Vision-Analytics,34592,5020
Part-time,Ocean Side,Unpaid,Tesla,basketball,female,3,20.0,4,27,1,Graduation,3,5984.73,Driving License,8,896,2.0,Vision-Analytics,13343,5021
Full-time,Ocean Side,Paid,Tesla,polo,female,2,,5,29,0,Masters,0,2028.73,Driving License,8,585,2.0,Vision-Analytics,34605,5022
Part-time,Ocean Side,Paid,Tesla,basketball,male,1,45.0,1,23,1,Graduation,7,764.73,Driving License,8,390,2.0,Vision-Analytics,36313,5023
Part-time,,Unpaid,Jio,,female,1,33.0,4,25,0,Graduation,4,2456.73,Driving License,8,854,2.0,Vision-Analytics,27276,5024
Full-time,Country Side,Paid,Tesla,swimming,male,4,39.0,1,37,1,Graduation,7,2234.73,Driving License,8,213,2.0,,45433,5026
Full-time,Ocean Side,Paid,Tesla,None,female,2,19.0,0,36,0,Masters,0,399.73,Driving License,8,161,2.0,Vision-Analytics,13555,5027
Full-time,Ocean Side,Paid,Tesla,basketball,male,4,98.0,5,25,1,Graduation,0,1240.73,Driving License,8,159,2.0,Vision-Analytics,44065,5028
Full-time,Country Side,Paid,Tesla,swimming,male,2,1.0,4,26,0,Masters,0,668.73,Driving License,8,175,2.0,Vision-Analytics,17306,5029
Full-time,Ocean Side,Paid,Tesla,badminton,female,3,14.0,1,31,1,Graduation,4,512.73,Driving License,8,124,2.0,Vision-Analytics,46585,5030
Part-time,,Paid,Tesla,None,female,2,72.0,3,30,0,High School,7,1158.73,Driving License,8,124,2.0,Vision-Analytics,39508,5032
Part-time,Ocean Side,Paid,Tesla,basketball,female,1,68.0,5,30,0,Graduation,7,837.73,Driving License,8,657,2.0,,19458,5033
Full-time,Country Side,Paid,Jio,badminton,male,1,18.0,1,32,0,High School,10,4772.73,Driving License,8,1678,2.0,Vision-Analytics,25779,5034
Part-time,Ocean Side,Unpaid,Tesla,None,male,1,29.0,1,32,0,Graduation,6,876.73,Driving License,8,1406,2.0,Vision-Analytics,16021,5035
Part-time,Ocean Side,Unpaid,Tesla,None,female,1,13.0,1,33,0,Graduation,4,244.73,Driving License,8,205,2.0,Vision-Analytics,37556,5036
Part-time,Ocean Side,Unpaid,Tesla,basketball,male,1,62.0,3,30,0,Graduation,7,51.27,Driving License,8,168,2.0,Vision-Analytics,16332,5037
Full-time,Ocean Side,Paid,Tesla,soccer,male,4,93.0,0,29,0,Graduation,6,701.73,Driving License,8,269,2.0,Vision-Analytics,11236,5038
Full-time,Ocean Side,Unpaid,Tesla,,female,2,86.0,2,30,0,Graduation,7,273.73,Driving License,8,140,2.0,Vision-Analytics,40152,5039
Part-time,,Paid,Tesla,soccer,female,3,,1,26,1,High School,7,995.73,Driving License,8,147,2.0,,27088,5040
Full-time,Ocean Side,Paid,Tesla,,female,1,94.0,2,28,0,Graduation,6,975.73,Driving License,8,570,2.0,Vision-Analytics,11693,5042
Part-time,Ocean Side,Paid,Tesla,swimming,female,4,76.0,3,37,0,Graduation,4,4717.73,Driving License,8,241,2.0,Vision-Analytics,46476,5043
Part-time,Ocean Side,Paid,Tesla,polo,female,2,22.0,5,55,0,High School,7,315.73,Driving License,8,381,2.0,Vision-Analytics,29319,5044
Full-time,Ocean Side,Unpaid,Tesla,soccer,male,4,35.0,1,37,0,Graduation,6,,Driving License,8,237,2.0,Vision-Analytics,41565,5045
Full-time,Ocean Side,Paid,Tesla,cricket,male,4,28.0,3,32,1,Masters,0,1990.73,Driving License,8,266,2.0,,36511,5047
Part-time,,Paid,Tesla,,male,3,65.0,2,30,-1,Graduation,6,1429.73,Driving License,8,485,2.0,Vision-Analytics,15863,5048
Full-time,Ocean Side,Paid,Tesla,swimming,male,1,,2,30,0,Masters,0,1603.73,Driving License,8,80,2.0,Vision-Analytics,35265,5049
Part-time,Ocean Side,Paid,Tesla,soccer,male,4,26.0,1,31,0,High School,7,1027.73,Driving License,8,808,2.0,Vision-Analytics,30126,5050
Part-time,Ocean Side,Paid,Tesla,basketball,female,1,56.0,4,56,0,Masters,8,7471.73,Driving License,8,41,2.0,Vision-Analytics,10964,5051
Part-time,Ocean Side,Paid,Jio,swimming,female,4,3.0,1,30,1,Graduation,6,75.73,Driving License,8,678,2.0,Vision-Analytics,12862,5052
Part-time,Ocean Side,Paid,Tesla,basketball,male,1,25.0,3,26,0,Masters,2,537.73,Driving License,8,440,2.0,Vision-Analytics,38011,5053
Part-time,Ocean Side,Paid,Tesla,cricket,female,4,62.0,2,30,1,Graduation,7,5525.73,Driving License,8,1159,2.0,,18911,5054
Part-time,Ocean Side,Paid,Jio,polo,male,2,68.0,1,28,1,Masters,4,1562.73,Driving License,8,1694,2.0,Vision-Analytics,14552,5055
Part-time,Ocean Side,Paid,Tesla,None,male,3,,0,35,0,High School,7,5916.73,Driving License,8,292,2.0,Vision-Analytics,24711,5058
Part-time,Ocean Side,Paid,Tesla,polo,female,2,30.0,2,27,1,Graduation,7,718.73,Driving License,8,136,2.0,Vision-Analytics,44975,5059
Part-time,Ocean Side,Paid,Tesla,basketball,male,3,47.0,5,26,1,Graduation,6,621.73,Driving License,8,83,,,36607,5061
Part-time,Ocean Side,Paid,Tesla,,male,4,27.0,4,35,1,,7,159.73,Driving License,8,110,2.0,Vision-Analytics,40286,5063
Part-time,,Paid,Tesla,soccer,male,3,55.0,4,33,0,Masters,0,,Driving License,8,80,2.0,Vision-Analytics,35724,5064
Full-time,Ocean Side,Paid,Tesla,swimming,male,4,74.0,1,31,1,Graduation,4,586.73,Driving License,8,288,2.0,Vision-Analytics,10330,5065
Part-time,Ocean Side,Unpaid,Tesla,,female,1,99.0,3,32,1,Graduation,8,273.73,Driving License,8,391,2.0,Vision-Analytics,34259,5066
Part-time,Ocean Side,Paid,Tesla,soccer,female,4,,1,33,0,High School,7,3741.73,Driving License,8,69,2.0,Vision-Analytics,49328,5067
Part-time,Ocean Side,Paid,Tesla,soccer,female,3,3.0,3,22,1,Graduation,7,444.73,Driving License,8,148,2.0,,28239,5068
Full-time,Ocean Side,Paid,Tesla,badminton,male,1,86.0,1,33,0,High School,7,726.73,Driving License,8,309,2.0,Vision-Analytics,38160,5069
Full-time,Ocean Side,Unpaid,Tesla,soccer,male,4,19.0,3,38,0,High School,7,831.73,Driving License,8,53,2.0,Vision-Analytics,35996,5070
Part-time,Ocean Side,Paid,Tesla,swimming,female,3,89.0,5,30,1,Masters,0,1646.73,Driving License,8,471,2.0,Vision-Analytics,16553,5071
Full-time,,Paid,Tesla,,male,1,33.0,1,36,1,High School,7,173.73,Driving License,8,186,2.0,Vision-Analytics,39108,5072
Full-time,Ocean Side,Paid,Tesla,soccer,male,4,64.0,4,33,0,Graduation,4,705.73,Driving License,8,1091,2.0,Vision-Analytics,41889,5073
Part-time,Ocean Side,Paid,Tesla,,male,4,7.0,0,37,0,Graduation,3,2258.73,Driving License,8,152,2.0,Vision-Analytics,18039,5074
Part-time,Ocean Side,Paid,Tesla,swimming,male,2,76.0,4,32,0,Graduation,7,496.73,Driving License,8,88,2.0,,21244,5075
Part-time,Ocean Side,Paid,Tesla,None,male,1,79.0,2,34,1,Masters,1,5025.73,Driving License,8,443,2.0,Vision-Analytics,20429,5077
Part-time,Ocean Side,Paid,Tesla,,female,2,40.0,2,50,0,Graduation,3,2206.73,Driving License,8,150,2.0,Vision-Analytics,38203,5078
Part-time,Ocean Side,Paid,Tesla,soccer,male,3,69.0,0,56,0,Graduation,10,1675.73,Driving License,8,108,,Vision-Analytics,28367,5079
Part-time,Ocean Side,Unpaid,Tesla,badminton,female,3,18.0,3,32,0,Graduation,7,2012.73,Driving License,8,210,2.0,,27295,5082
Full-time,Ocean Side,Paid,Tesla,cricket,female,4,39.0,1,33,0,High School,7,,Driving License,8,163,2.0,Vision-Analytics,38777,5084
Part-time,Ocean Side,Paid,Tesla,basketball,female,1,,3,28,1,Graduation,6,564.27,Driving License,8,139,,Vision-Analytics,13613,5085
Full-time,Ocean Side,Paid,Tesla,badminton,male,4,17.0,1,31,1,Masters,0,,Driving License,8,234,2.0,Vision-Analytics,31718,5086
Full-time,Ocean Side,Paid,Tesla,badminton,male,4,41.0,4,36,0,Graduation,1,108.73,Driving License,8,227,2.0,Vision-Analytics,12405,5087
Full-time,Ocean Side,Paid,Tesla,cricket,male,4,16.0,0,32,0,Graduation,0,566.73,Driving License,8,159,2.0,,26348,5089
Part-time,Ocean Side,Paid,Tesla,basketball,male,1,87.0,5,31,0,Graduation,0,882.73,Driving License,8,236,2.0,Vision-Analytics,36311,5090
